name,location,continent,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
Superman Krypton Coaster,Six Flags Fiesta Texas,North America,B&M,Steel,Shoulder harness,2000,Chain lift hill,,167.3208,6,70.214923,4025.5416,88.6
Behemoth,Canada's Wonderland,North America,B&M,Steel,Lap bar,2008,Chain lift hill,Hyper,229.656,0,77.050004,5318.1768,88.5
Wodan : Timbur Coaster,Europa Park,Europe,GCI,Wooden,Lap bar,2012,Chain lift hill,Twister,114.828,0,62.1371,3444.84,88.5
Red Force,Ferrari Land,Europe,Intamin,Steel,Lap bar,2017,Magnetic Launch (LIM/LSM),"Rocket, Strata",367.4496,0,114.953635,2887.104,88.3
Apollo's Chariot,Busch Gardens Williamsburg,North America,B&M,Steel,Lap bar,1999,Chain lift hill,Hyper,170.6016,0,73.321778,4881.8304,88
Full Throttle,Six Flags Magic Mountain,North America,Premier Rides,Steel,Lap bar,2013,Magnetic Launch (LIM/LSM),Launched Looping,157.4784,2,69.593552,2198.136,88
Storm Runner,Hersheypark,North America,Intamin,Steel,Shoulder harness,2004,Hydraulic cable launch,Rocket,183.7248,3,74.56452,2644.3248,88
Mystic Timbers,Kings Island,North America,GCI,Wooden,Lap bar,2017,Chain lift hill,Twister,108.2664,0,52.816535,3264.396,87.8
Junker,PowerPark,Europe,Gerstlauer,Infinity,Lap bar,2015,Magnetic Launch (LIM/LSM),,131.232,3,64.622584,2821.488,87.4
Revenge of the Mummy,Universal Studios Florida,North America,Premier Rides,Steel,Lap bar,2004,Magnetic Launch (LIM/LSM),Launched Indoor,45.9312,0,40.389115,2198.136,87.4
Talon,Dorney Park,North America,B&M,Steel,Shoulder harness,2001,Chain lift hill,,134.5128,4,57.787503,3116.76,87.3
Mr Freeze Reverse Blast,Six flags Over Texas,North America,Premier Rides,Steel,Lap bar,1998,Magnetic Launch (LIM/LSM),Shuttle,216.5328,1,70.214923,1299.1968,87.1
Colossos,Heide Park,Europe,Intamin,Wooden,Lap bar,2001,Chain lift hill,Out & Back,167.3208,0,68.35081,4921.2,86.9
Cheetah Hunt,Busch Gardens Tampa,North America,Intamin,Steel,Shoulder harness,2011,Magnetic Launch (LIM/LSM),Rocket,101.7048,1,60.272987,4429.08,86.8
Harry Potter and the Escape from Gringotts,Universal Studios Florida,North America,Intamin,Steel,Lap bar,2014,Magnetic Launch (LIM/LSM),Dark Ride,,0,,,86.8
Mr. Freeze Reverse Blast,Six Flags St Louis,North America,Premier Rides,Steel,Lap bar,1998,Magnetic Launch (LIM/LSM),,216.5328,1,70.214923,1299.1968,86.8
Diamondback,Kings Island,North America,B&M,Steel,Lap bar,2009,Chain lift hill,Hyper,229.656,0,80.156859,5282.088,86.3
Galactica,Alton Towers,Europe,B&M,Steel,Flying restraint,2002,Chain lift hill,,65.616,3,46.602825,2755.872,86.2
Fluch Von Novgorod,Hansa Park,Europe,Gerstlauer,Steel,Shoulder harness,2009,"Chain lift hill, Magnetic Launch (LIM/LSM)",Euro-Fighter,131.232,1,62.1371,,86.1
Goliath,La Ronde,North America,B&M,Steel,Lap bar,2006,Chain lift hill,Hyper,173.8824,0,68.35081,4038.6648,85.8
Blue Fire,Europa Park,Europe,Mack,Steel,Lap bar,2009,Magnetic Launch (LIM/LSM),Looper,124.6704,4,62.1371,3464.5248,85.7
Beast,Kings Island,North America,Charlie Dinn,Wooden,Lap bar,1979,Chain lift hill,,111.5472,0,64.622584,7358.8344,85.7
Patriot,Worlds of Fun,North America,B&M,Steel,Shoulder harness,2006,Chain lift hill,,150.9168,4,59.651616,3080.6712,85.5
Incredible Hulk,Universal Studios Islands of Adventure,North America,B&M,Steel,Shoulder harness,,Tire propelled launch,Looper,108.2664,7,66.486697,3697.4616,85.5
Kumba,Busch Gardens Tampa,North America,B&M,Steel,Shoulder harness,1993,Chain lift hill,Looper,141.0744,7,59.651616,3969.768,85.4
Baron 1898,Efteling,Europe,B&M,Steel,Shoulder harness,2015,Chain lift hill,Dive,124.6704,2,55.92339,1640.4,85.3
Medusa,Six Flags Discovery Kingdom,North America,B&M,Steel,Shoulder harness,2000,Chain lift hill,,150.9168,7,65.243955,3936.96,85.2
Incredicoaster,Disney California Adventure,North America,Intamin,Steel,Shoulder harness,2001,Magnetic Launch (LIM/LSM),Looper,108.2664,1,54.680648,6069.48,85.2
Mine Blower,Fun Spot Kissimmee,North America,Gravity Group,Wooden,Lap bar,2017,Chain lift hill,,82.02,1,48.466938,2289.9984,84.9
Lost Gravity,Walibi Holland,Europe,Mack,Steel,Lap bar,2016,Chain lift hill,BigDipper,104.9856,2,54.059277,2230.944,84.9
Stunt Fall,Parque Warner Madrid,Europe,Vekoma,Steel,Shoulder harness,2002,Cable lift hill,Multielement Inverted Shuttle,190.2864,3,65.865326,1204.0536,84.7
Oblivion - The Black Hole,Gardaland,Europe,B&M,Steel,Shoulder harness,2015,Chain lift hill,Dive,141.0744,2,62.1371,1856.9328,84.6
