name,location,continent,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
42,Six Flags Over Georgia,3,4,5,2,2006,4,37,200.1288,0,69.593552,4478.292,93.4
45,Six Flags New England,3,22,5,2,2e3,4,63,206.6904,0,77.050004,5400.1968,92.8
47,Busch Gardens Tampa,3,4,5,5,2005,4,11,200.1288,1,70.214923,3188.9376,92.5
48,Knott's Berry Farm,3,22,5,2,2002,13,73,203.4096,0,82.020972,2201.4168,92.4
49,Hersheypark,3,22,5,5,2012,3,63,196.848,0,74.56452,3608.88,92.4
54,Six Flags Great Adventure,3,22,5,5,2005,13,74,456.0312,0,128.002426,3116.76,91.9
55,Six Flags Great Adventure,3,4,5,2,2001,4,37,229.656,0,79.535488,5393.6352,91.6
59,Djurs Sommerland,2,22,5,2,2008,4,64,104.9856,0,55.92339,2477.004,90.8
62,Fuji-Q Highland,1,42,5,2,2001,9,2,170.6016,0,106.875812,3900.8712,90.2
67,Waldameer,3,20,3,2,2008,4,91,78.7392,0,56.544761,2900.2272,89.2
68,Blackpool Pleasure Beach,2,29,5,2,2018,14,57,88.5816,1,49.70968,3749.9544,89.1
70,Thorpe Park,2,22,5,5,2006,13,73,206.6904,0,83.885085,1312.32,88.9
72,Canada's Wonderland,3,4,5,2,2008,4,37,229.656,0,77.050004,5318.1768,88.5
73,Europa Park,2,17,9,2,2012,4,91,114.828,0,62.1371,3444.84,88.5
74,Ferrari Land,2,22,5,2,2017,14,74,367.4496,0,114.953635,2887.104,88.3
75,Busch Gardens Williamsburg,3,4,5,2,1999,4,37,170.6016,0,73.321778,4881.8304,88
76,Six Flags Magic Mountain,3,37,5,2,2013,14,52,157.4784,2,69.593552,2198.136,88
77,Hersheypark,3,22,5,5,2004,13,73,183.7248,3,74.56452,2644.3248,88
78,Kings Island,3,17,9,2,2017,4,91,108.2664,0,52.816535,3264.396,87.8
80,Universal Studios Florida,3,37,5,2,2004,14,51,45.9312,0,40.389115,2198.136,87.4
82,Six flags Over Texas,3,37,5,2,1998,14,76,216.5328,1,70.214923,1299.1968,87.1
83,Heide Park,2,22,9,2,2001,4,71,167.3208,0,68.35081,4921.2,86.9
84,Busch Gardens Tampa,3,22,5,5,2011,14,73,101.7048,1,60.272987,4429.08,86.8
